序號,縣市別,名稱,公告日期,公告文號,限制事項,保育對象,保護等級分類,11月21日管理執行進度,2月18日至19日電洽執行進度,4月至5月管理執行進度
1,10002,蘇澳漁業資源保育區,1986-07-02,86府農漁字第77536號,1.蘇澳鎮港邊里澳仔角附近，自低潮線向外海延伸200公尺沿岸海域，海岸線長約2公里。。2.未經公告開放供漁民捕撈，漁民不得擅自進入保育區採捕水產動植物。,九孔、紫菜、龍蝦、石花菜及其他貝類,2,該所表示該轄漁業資源保育區之管理及相關限制事項，因影響範圍廣泛並涉及漁民福利深遠，該所已積極檢討評估，並俟徵詢相關意見彙集共識後實施辦理。,已列為該府重點項目，刻正辦理檢討會議中。,1.已針對轄屬2處漁業資源保育區之位置、限制捕撈物種、設訂合理開放採捕期限及採集工具限制等事項，擬定管理草案，並於本年3月12日拜訪邵廣昭博士，洽詢轄屬保育區生態調查成果細節，以作為擬定草案之參考方向。。2.目前初步規劃調整頭城漁業資源保育區之保育等級，並研議一定期間內有限度開放許可採捕及其作業方式。。3.有關蘇澳漁業資源保育區因現有範圍生物豐度不高，擬進行調查後重新劃定。
2,10002,頭城漁業資源保育區,1986-07-02,86府農漁字第77536號,1.頭城鎮外澳里至石城里間，自低潮線向外海延伸200公尺沿岸海域，海岸線長約16公里。。2.未經公告開放供漁民捕撈，漁民不得擅自進入保育區採捕水產動植物。,九孔、紫菜、龍蝦、石花菜及其他貝類,2,,,
3,10017,基隆市水產動植物保育區,1988-12-27,88基府建漁字第120469號,1.自基隆市行政轄區之所有沿岸水域，由低潮線向外延伸1000公尺之海域，海岸線長約20公里。。2.保育區全年禁止採捕保育種類，如有必要時由該府另行公告開放採捕時間。,九孔、?仔、龍蝦,3,1.該府於88年12月27日公告劃設「基隆市水產動植物保育區」，範圍自該市行政轄區之所有沿岸水域，由低潮線向外延伸1000公尺之海域，海岸線長約20公里，保育種類為九孔、龍蝦及?仔，係屬我國第3類「多功能使用」海洋保護區。。2.有關告示牌設置之位置及數量，將全面檢視現舊有告示牌後，再予設置。,刻正與該府交通旅遊處討論及協調設置告示牌的數量及位置，已初步規劃於該市所轄6個漁港設置告示牌。,已設計好告示牌樣板，實體刻正製作中，預定設置7面至轄區沿岸及港口
4,65000,貢寮水產動植物繁殖保育區,2012-04-05,北府農漁字第10142435241號,貢寮區福連里卯澳至洋寮鼻距岸300公尺之海域。。1.石花菜每年10月1日起至次年4月15日只禁止採捕或販賣。。2.九孔殼長未滿4公分者禁止採捕，試驗研究或養殖目的且經該府核准者，不予禁止。。3.龍蝦殼長未滿20公分者禁止採捕，試驗研究或養殖目的且經該府核准者，不予禁止。。4.海膽不含刺殼長未滿8公分者禁止採捕，試驗研究或養殖目的且經該府核准者，不予禁止。。5.禁止使用潛水器材採捕九孔、海膽、龍蝦、石花菜。。6.禁止非以釣具類魚具之漁船進入保育區範圍內作業。,九孔、海膽、龍蝦、石花菜,3,101年度已委託廠商辦理「新北市水產動植物繁殖保育區及網具類漁具禁漁區整體規劃」進行公告內容之檢討修正事宜，於101年11月30日召開期末簡報會議，針對貢寮保育區公告範圍，保持原公告卯澳灣部分，另修正石花菜採捕及販賣期，增加大法螺、麒麟菜、珊瑚礁及珊瑚礁魚類之禁止事項，關於增設馬崗海蝕平台部分之後再評估討論。,該處業已檢送修正公告至本署核定中，俟本署核定後，將辦理告示牌設置。,1102年度已委託廠商辦理「新北市水產動植物繁殖保育區及網具類漁具禁漁區整體規劃」進行公告內容之檢討修正事宜。。2.告示牌已委託廠商進行設計規劃。
5,65000,萬里水產動植物繁殖保育區,2012-04-05,北府農漁字第10142435241號,萬里區基金公路野柳隧道口至東澳距岸300公尺海域。。1.石花菜每年10月1日起至次年4月15日只禁止採捕或販賣。。2.九孔殼長未滿4公分者禁止採捕，試驗研究或養殖目的且經該府核准者，不予禁止。。3.龍蝦殼長未滿20公分者禁止採捕，試驗研究或養殖目的且經該府核准者，不予禁止。。4.海膽不含刺殼長未滿8公分者禁止採捕，試驗研究或養殖目的且經該府核准者，不予禁止。。5.禁止使用潛水器材採捕九孔、海膽、龍蝦、石花菜。。6.禁止非以釣具類魚具之漁船進入保育區範圍內作業。,九孔、海膽、龍蝦、石花菜,3,,,
6,10005,灣瓦海瓜子繁殖保育區,1999-01-20,府農漁字第09900120192號,"1.後龍鎮中和里A、B、C、D四點範圍內：。A點:24°36'16""N  120°43'23""E           。B點:24°36'8""N  120°43'18""E            。C點:24°36'8""N  120°43'14""E              。D點:24°36'16""N  120°43'20""E。2.每年12月1日起至次年3月31日止為禁捕期，於公告禁捕期，不得以任何方式進入保育區範圍內採捕保育種類。",國姓蟯貝(海瓜子),3,該公告無位置偏移或座標系統不符，另不定期會同當地漁會進行查核，強化保育區資源巡護工作；其告示牌因地處偏僻維護不易，業已損毀。,因該府更換承辦人，業已提供相關保育區檢討與管理訊息，並電洽及email通知該承辦人儘速辦理告示牌設置。,已接洽廠商設計告示牌
7,10007,伸港螻蛄蝦繁殖保育區,2013-01-14,府農漁字第1020008085A號,"1.自該縣伸港鄉曾家村出海道路西北側離岸600公尺外海域，以A、B、 C、D點座標所連成方形區域內均屬之【A"":24°10'8""N 120°27'43""E；B"":24°10'8""N 120°27'22""E；C"":24°9'47""N 120°27'8""E；D"":24°9'47""N 120°27'29""E】；保育總面積為36公頃。。2.本保育區範圍內，除經主管機關核准之學術研究外，全年禁止採捕螻蛄蝦、二枚貝及其他水產動植物。",螻蛄蝦,2,1.「伸港螻蛄蝦繁殖保育區」因無法有效保護螻蛄蝦棲地環境，故該府刻正簽辦修正該公告內容，修正將前揭保育區全面劃設為「核心區」，除主管機關核准之學術研究外，全面禁止採捕螻蛄蝦、二枚貝及其他水產動植物。。2.王功保育區範圍與漁民經營觀光體驗文蛤場位置重疊，故該府亦將該保育區之範圍及面積修正為40.56公頃，亦區分「核心區」及「養護區」，現刻正以府農漁字第1010302873號公告進行預告中。,該府業於102年1月14及17日分別以府農漁字第1020008085A號及府農漁字第1020013446A號修正公告，其中將伸港螻蛄蝦繁殖保育區提升至第2級海洋保護區，另刻正簽辦補助款請漁會設置告示牌。,1.業於102年1月14日完成「伸港螻蛄蝦繁殖保育區」修正公告，該補育區已修正全年禁止採捕螻蛄蝦、二枚貝及其他水產動植物。另於同年1月17日公告新增「伸港(二)、王功螻蛄蝦繁殖保育區」。。2.該府本年度已補助彰化區漁會辦理「彰化縣伸港、王公螻蛄蝦資源保育區監測及維護管理計畫」，該計畫包含告示牌施作，俟施作完成後再提供告示牌照片。
8,10007,伸港(二)螻蛄蝦繁殖保育區,2013-01-17,府農漁字第1020013446A號,"1.位於伸港螻蛄蝦繁殖保育區北側，範圍以A""、B""、C""、D""點座標所連成方形區域內均屬之，面積約20公頃，均為「核心區」；【A"":24°10'24.15""N 120°27'17.14""E；B"":24°10'22.11""N 120°27'23.88""E；C"":24°10'55.85""N 120°27'32.05""E；D"":24°10'58.27""N 120°27'23.55""E】。。2.本保育區範圍內之「核心區」，除經主管機關核准之學術研究外，全年禁止採捕螻蛄蝦、二枚貝及其他水產動植物。",螻蛄蝦,2,,,
9,10007,王功螻蛄蝦繁殖保育區,2013-01-17,府農漁字第1020013446A號,"1.範圍以A、B、 E、F點座標所連成方形區域內均屬之，【A:23°58'08.31""N 120°19'05.14""E；B:23°58'11.30""N 120°19'19.73""E；E:23°57'28.82""N 120°18'34.78""E；F:23°57'23.93""N 120°18'40.04""E】，總面積約40.56公頃。。2.保育區內以A、B、C、D點座標連成方形區域為「核心區」，【A:23°58'08.31""N 120°19'05.14""E；B:23°58'11.30""N 120°19'19.73""E；C:23°57'53.12""N 120°18'53.36""E；D:23°57'48.52""N 120°19'00.65""E】，面積為19.14公頃。。3.保育區內以C、D、E、F點座標連成方形區域為「養護區」，【C:23°57'53.12""N 120°18'53.36""E；D:23°57'48.52""N 120°19'00.65""E；E:23°57'28.82""N 120°18'34.78""E；F:23°57'23.93""N 120°18'40.04""E】，面積為21.42公頃。。4.本保育區範圍內之「核心區」，除經主管機關核准之學術研究外，全年禁止採捕螻蛄蝦、二枚貝及其他水產動植物。。5.「養護區」內僅供生態教學，漁業生態體驗活動及學術研究，且需經本府核准者為限。本區只開放示範採捕螻蛄蝦，完後原地放生，不得帶出保育區。",螻蛄蝦,核心區：2。養護區：3,,,
10,10010,東石西施貝保育區(已廢止),1989-02-16,89府農漁字第16583號,1.東石鄉東石大橋以南340公尺起至900公尺間朴子溪床，水域面積2.65公頃。。2.全年禁止採捕，如有必要時由該府另行公告開放採捕時間。。3.凡於公告禁捕期間不得以任何方式進入保育區內採捕保育種類或進行破壞水產生物棲息地環境之行為。,西施貝,3,日前經中華民國魚類學會執行本署「漁業資源保育區及稀有物種之調查及規劃」計畫發現，該保育區內溪床河道淤積，已非西施舌喜好之棲息環境，且未採得西施舌樣本，爰該府俟前揭計畫報告定案後，以作為後續檢討之依據。,該府表示該保育區內溪床河道淤積，已非西施舌喜好之棲息環境，爰刻正研議廢止中。,102年5月27日公告廢止
