公告縣市,地區,溪流名稱,封溪範圍,封溪時間,公告字號
基隆市,暖暖區、七堵區,暖暖區暖暖溪；七堵區瑪陵坑溪、友蚋溪、拔西猴溪,暖暖區暖暖溪（區域排水界點平靜橋以上流域）、七堵區瑪陵坑溪（區域排水界點瑪西里民大會堂以上流域及瑪西里民大會堂至鴛鴦橋流域）、友蚋溪（全流域）及拔西猴溪（全流域）禁止使用釣竿等器具(含撈蝦、徒手捕捉、手拋網、網魚及射魚等)或電、毒及炸等方式採捕水產動植物。,103年6月10日起,基府產農貳字第1030227781B號(更正)
臺北市,南港區,四分溪,南港區四分溪自研究院路4段209號斜對面四分溪水源頭（北緯25度0分47.22秒；東經121度34分51.78秒）至南深橋（北緯25度2分56.27秒；東經121度36分56.69秒）止。,112/1/1-116/12/31止,府產業農字第11101235341號
臺北市,,新店溪及基隆河,新店溪秀朗橋下游朝淡水河口方向連接至淡水河關渡宮及基隆河內溝溪匯流口往下游至淡水河關渡宮，水域禁止使用網具(流刺網、投網)採捕魚類。,100/5/27起,府產業農字第10030359801號
新北市,三芝區,大屯溪（含支流）；八連溪（含支流）；大坑溪（含支流，含匯流至陳厝坑溪後至出海口區域）,嚴禁任何方式採捕、放流（含放生、棄養）水產動植物,自115年1月1日起至117年12月31日止,新北府農林字第11510149051號
新北市,三峽區,橫溪（成福路6巷橋起上游及各支流，含竹坑溪及竹崙溪等支流）,嚴禁任何方式採捕、放流（含放生、棄養）水產動植物,自115年1月1日起至117年12月31日止,新北府農林字第11510149051號
新北市,石門區,老梅溪（含支流）,嚴禁任何方式採捕、放流（含放生、棄養）水產動植物,自115年1月1日起至117年12月31日止,新北府農林字第11510149051號
新北市,金山區,重和溪：與磺溪匯流處⇔陽明山國家公園界（含支流）,嚴禁任何方式採捕、放流（含放生、棄養）水產動植物,自115年1月1日起至117年12月31日止,新北府農林字第11510149051號
新北市,烏來區,南勢溪：。桂山發電廠堰堤攔砂壩（烏來區公所東邊）<=>  羅好壩。。斯其野溪南勢溪匯流處 <=> 大羅蘭溪馬岸溪匯流處。。桶後溪：與南勢溪匯流處 <=>阿玉壩。,嚴禁任何方式採捕、放流（含放生、棄養）水產動植物,自115年1月1日起至117年12月31日止,新北府農林字第11510149051號
新北市,貢寮區,枋腳溪（含支流：石壁坑溪、內寮溪與赤皮寮溪）。。遠望坑溪：與雙溪河匯流處 <=>草嶺古道北口；含支流。。嶐嶐溪：興隆橋起上游及各支流。。榕樹溪（含支流）、豬灶溪（含支流）、坑內溪（含支流）。,嚴禁任何方式採捕、放流（含放生、棄養）水產動植物,自115年1月1日起至117年12月31日止,新北府農林字第11510149051號
新北市,淡水區,大屯溪：出海口告示牌⇔中和橋,嚴禁任何方式採捕、放流（含放生、棄養）水產動植物,自115年1月1日起至117年12月31日止,新北府農林字第11510149051號
